plane_idx,x_cm,z_cm,weight
3,-0.003262,-0.012616,0.992119
4,-0.006525,-0.025231,0.992119
0,0.048824,-0.000047,0.972392
1,0.024412,-0.000023,0.972392
2,0.000000,-0.000000,0.972392
3,-0.024412,0.000023,0.972392
4,-0.048824,0.000047,0.972392
0,0.041464,0.042854,0.958936
1,0.020732,0.021427,0.958936
2,0.000000,-0.000000,0.958936
3,-0.020732,-0.021427,0.958936
4,-0.041464,-0.042854,0.958936
0,0.091584,0.016790,0.901530
1,0.045792,0.008395,0.901530
2,-0.000000,0.000000,0.901530
3,-0.045792,-0.008395,0.901530
4,-0.091584,-0.016790,0.901530
0,0.063056,-0.035837,0.939551
1,0.031528,-0.017919,0.939551
2,0.000000,-0.000000,0.939551
3,-0.031528,0.017919,0.939551
4,-0.063056,0.035837,0.939551
0,-0.022546,0.082962,0.915667
1,-0.011273,0.041481,0.915667
2,-0.000000,0.000000,0.915667
3,0.011273,-0.041481,0.915667
4,0.022546,-0.082962,0.915667
0,0.047287,-0.041782,0.954068
1,0.023644,-0.020891,0.954068
2,0.000000,-0.000000,0.954068
3,-0.023644,0.020891,0.954068
4,-0.047287,0.041782,0.954068
0,-0.056367,-0.071177,0.906226
1,-0.028184,-0.035588,0.906226
2,0.000000,0.000000,0.906226
3,0.028184,0.035588,0.906226
4,0.056367,0.071177,0.906226
0,-0.020483,-0.078225,0.925173
1,-0.010241,-0.039113,0.925173
2,-0.000000,0.000000,0.925173
3,0.010241,0.039113,0.925173
4,0.020483,0.078225,0.925173
0,-0.093993,-0.006928,0.899188
1,-0.046996,-0.003464,0.899188
2,0.000000,0.000000,0.899188
3,0.046996,0.003464,0.899188
4,0.093993,0.006928,0.899188
0,-0.025380,0.023827,0.985939
1,-0.012690,0.011913,0.985939
2,0.000000,-0.000000,0.985939
3,0.012690,-0.011913,0.985939
4,0.025380,-0.023827,0.985939
0,0.066975,-0.011639,0.946793
1,0.033487,-0.005819,0.946793
2,0.000000,0.000000,0.946793
3,-0.033487,0.005819,0.946793
4,-0.066975,0.011639,0.946793
0,-0.010538,0.052966,0.966264
1,-0.005269,0.026483,0.966264
2,0.000000,-0.000000,0.966264
3,0.005269,-0.026483,0.966264
4,0.010538,-0.052966,0.966264
0,0.026072,0.030956,0.981005
1,0.013036,0.015478,0.981005
2,-0.000000,-0.000000,0.981005
3,-0.013036,-0.015478,0.981005
4,-0.026072,-0.030956,0.981005
0,-0.065182,0.028259,0.941961
1,-0.032591,0.014129,0.941961
2,0.000000,-0.000000,0.941961
3,0.032591,-0.014129,0.941961
4,0.065182,-0.028259,0.941961
0,-0.086318,0.017698,0.911529
1,-0.043159,0.008849,0.911529
2,0.000000,0.000000,0.911529
3,0.043159,-0.008849,0.911529
4,0.086318,-0.017698,0.911529
0,-0.009837,-0.046122,0.974236
1,-0.004918,-0.023061,0.974236
2,-0.000000,0.000000,0.974236
3,0.004918,0.023061,0.974236
4,0.009837,0.046122,0.974236
0,0.020480,0.051545,0.964429
1,0.010240,0.025772,0.964429
2,-0.000000,-0.000000,0.964429
3,-0.010240,-0.025772,0.964429
4,-0.020480,-0.051545,0.964429
0,0.051891,0.078337,0.899773
1,0.025945,0.039168,0.899773
2,0.000000,-0.000000,0.899773
3,-0.025945,-0.039168,0.899773
4,-0.051891,-0.078337,0.899773
0,0.031794,0.012156,0.986557
1,0.015897,0.006078,0.986557
2,-0.000000,0.000000,0.986557
